
2025/08/08 (09:35:06) | ===> btop++ v.1.4.4
2025/08/08 (09:35:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/08/08 (09:35:06) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/08/08 (09:35:06) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/08/08 (19:06:29) | ===> btop++ v.1.4.4
2025/08/08 (19:06:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/08/08 (19:06:29) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/08/08 (19:06:29) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/08/09 (10:18:02) | ===> btop++ v.1.4.4
2025/08/09 (10:18:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/08/09 (10:18:02) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/08/09 (10:18:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/08/09 (11:03:33) | ===> btop++ v.1.4.4
2025/08/09 (11:03:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/08/09 (11:03:33) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/08/09 (11:03:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/08/09 (11:31:35) | ===> btop++ v.1.4.4
2025/08/09 (11:31:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/08/09 (11:31:35) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/08/09 (11:31:35) | WARNING: ROCm SMI: Failed to get PCIe throughput
